trbv JABR01-trbv 1
trbv AQIA01-trbv 1
trav JZKE01-trav 3
ighv AGCE01-ighv 1
ighv AHZZ01-ighv 1
ighv JABR01-ighv 1
igkv JYKQ01-igkv 2
ighv AQIA01-ighv 2
trav CABD02-trav 2
iglv AJFE01-iglv 2
trbv ADFV01-trbv 4
iglv AQIB01-iglv 3
iglv AHZZ01-iglv 3
iglv JABR01-iglv 3
iglv AQIA01-iglv 4
trbv ABDC01-trbv 1
ighv ABGA01-ighv 4
trav AJFE01-trav 1
iglv ADFV01-iglv 2
trbv JYKQ01-trbv 1
trav AGCE01-trav 3
iglv ABGA01-iglv 2
trav AQIB01-trav 2
trav JABR01-trav 2
trav AHZZ01-trav 2
trav AQIA01-trav 3
iglv ABDC01-iglv 2
ighv JYKQ01-ighv 3
igkv AJFE01-igkv 1
iglv JYKQ01-iglv 4
igkv AGCE01-igkv 1
trav ADFV01-trav 3
trbv CABD02-trbv 2
igkv AQIB01-igkv 2
igkv AHZZ01-igkv 2
igkv JABR01-igkv 1
trav ABRT01-trav 2
igkv AQIA01-igkv 3
iglv JZKE01-iglv 2
igkv ADFV01-igkv 1
iglv CABD02-iglv 2
trbv AJFE01-trbv 3
igkv ABGA01-igkv 2
igkv ABRT01-igkv 2
trbv AQIB01-trbv 1
