V0RF 1480  1787 1
V1RF 38587  38894 1
V2RF 48224  48531 1
V3RF 55679  55992 1
V4RF 64965  65272 1
V5RF 97732  98036 1
V6RF 146615  146925 1
V7RF 167535  167842 1
V8RF 175853  176160 1
V9RF 187204  187517 1
V10RF 203920  204227 1
V11RF 290354  290661 1
V12RF 294316  294626 1
V13RF 331174  331484 1
V14RF 439321  439628 1
V15RF 477119  477426 1
V16RF 491715  492025 1
V17RF 520614  520924 1
V18RF 565603  565913 1
V19RF 593372  593679 1
V20RF 601140  601453 1
V21RF 604649  604959 1
V22RF 613002  613309 1
V23RF 654685  654992 1
V24RF 661965  662272 1
V25RF 700539  700852 1
V26RF 716253  716560 1
V27RF 725594  725898 1
V28RF 742215  742522 1
V29RF 759508  759812 1
V30RF 224  537 1
V31RF 4908 4601 -1
