V27RF 991897  992195
V26RF 975814  976112
V25RF 969209  969507
V24RF 919032  919330
V23RF 900542  900840
V22RF 888854  889152
V21RF 830140  830438
V20RF 819595  819893
V19RF 802691  802989
V18RF 796068  796366
V17RF 753774  754060
V16RF 738825  739123
V15RF 718373  718671
V14RF 703430  703728
V13RF 682650  682942
V12RF 667114  667391
V11RF 650942  651240
V10RF 636608  636897
V9RF 586748  587046
V8RF 581268  581566
V7RF 552023  552321
V6RF 499984  500282
V5RF 491720  492033
V4RF 457233  457546
V3RF 1617344  1617642
V2RF 1608173  1608471
V1RF 1549764  1550062
V0RF 1500281  1500597
V34RF 1185289  1185587
V33RF 1167470  1167780
V32RF 1150710  1151023
V31RF 1106606  1106904
V30RF 1072269  1072567
V29RF 1034825  1035123
V28RF 1015161  1015486
